model,model_display_name,query_type,condition_a,condition_b,metric,n_pairs,metric_a,metric_b,paired_metric_diff,ci_low,ci_high,p_diff_le_0
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,nl_binary_score,wrong_flip,395,0.3620253164556962,0.3721518987341772,-0.010126582278481013,-0.030379746835443037,0.007594936708860759,0.89
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,nl_binary_score,signed_ccc,395,-0.04810126582278481,-0.04810126582278481,0.0,-0.020253164556962026,0.020253164556962026,0.521
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,395,0.6759493670886076,0.6455696202531646,0.030379746835443037,-0.002531645569620253,0.060759493670886074,0.043
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,395,0.3139240506329114,0.3037974683544304,0.010126582278481013,-0.007594936708860759,0.027848101265822784,0.157
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,395,0.3620253164556962,0.34177215189873417,0.020253164556962026,-0.005063291139240506,0.04810126582278481,0.088
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,395,-0.04810126582278481,-0.0379746835443038,-0.010126582278481013,-0.043037974683544304,0.02278481012658228,0.759
qwen3_8b,Qwen3-8B,backadj,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,395,0.6455696202531646,0.6962025316455697,-0.05063291139240506,-0.08354430379746836,-0.02278481012658228,0.999
qwen3_8b,Qwen3-8B,backadj,symbolic_shuffled_binary_score,nl_binary_score,scca,395,0.3037974683544304,0.3240506329113924,-0.020253164556962026,-0.04050632911392405,-0.002531645569620253,0.99
qwen3_8b,Qwen3-8B,backadj,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,395,0.34177215189873417,0.3721518987341772,-0.030379746835443037,-0.05569620253164557,-0.007594936708860759,0.997
qwen3_8b,Qwen3-8B,backadj,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,395,-0.0379746835443038,-0.04810126582278481,0.010126582278481013,-0.020253164556962026,0.04050632911392405,0.26
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,nl_binary_score,strict_ccc,406,0.2044334975369458,0.39408866995073893,-0.1896551724137931,-0.2438423645320197,-0.1354679802955665,1.0
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,nl_binary_score,scca,406,0.09113300492610837,0.19458128078817735,-0.10344827586206896,-0.14285714285714285,-0.059113300492610835,1.0
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,nl_binary_score,wrong_flip,406,0.11330049261083744,0.19950738916256158,-0.08620689655172414,-0.1206896551724138,-0.054187192118226604,1.0
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,nl_binary_score,signed_ccc,406,-0.022167487684729065,-0.0049261083743842365,-0.017241379310344827,-0.07389162561576355,0.03940886699507389,0.736
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,406,0.2044334975369458,0.49261083743842365,-0.2881773399014778,-0.34236453201970446,-0.2315270935960591,1.0
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,406,0.09113300492610837,0.19704433497536947,-0.10591133004926108,-0.15270935960591134,-0.06151477832512321,1.0
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,406,0.11330049261083744,0.2955665024630542,-0.18226600985221675,-0.22413793103448276,-0.14285714285714285,1.0
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,406,-0.022167487684729065,-0.09852216748768473,0.07635467980295567,0.009852216748768473,0.14285714285714285,0.015
qwen3_8b,Qwen3-8B,correlation,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,406,0.49261083743842365,0.39408866995073893,0.09852216748768473,0.034482758620689655,0.16009852216748768,0.002
qwen3_8b,Qwen3-8B,correlation,symbolic_shuffled_binary_score,nl_binary_score,scca,406,0.19704433497536947,0.19458128078817735,0.0024630541871921183,-0.04433497536945813,0.05172413793103448,0.487
qwen3_8b,Qwen3-8B,correlation,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,406,0.2955665024630542,0.19950738916256158,0.0960591133004926,0.05665024630541872,0.13793103448275862,0.0
qwen3_8b,Qwen3-8B,correlation,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,406,-0.09852216748768473,-0.0049261083743842365,-0.09359605911330049,-0.15517241379310345,-0.029556650246305417,0.997
