pair_index,pair_id,story_id,query_type,rung,component,layer,clean_id,corrupted_id,clean_label,corrupted_gold_label,clean_target_margin,corrupted_clean_target_margin,patched_clean_target_margin,recovery,corrupted_gold_margin,patched_corrupted_gold_margin,corrupted_gold_recovery,method,model,model_display_name,sample_mode,candidate_source
2,346->355,firing_employee,ett,3,residual,28,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,29,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,30,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,31,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,32,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,33,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,34,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,35,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,0,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,1,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,2,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,3,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,4,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,5,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,6,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,7,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,8,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,9,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,10,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,11,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,12,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,13,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,14,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,15,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,16,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,17,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,18,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,19,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,20,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,21,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,22,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,23,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,24,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,25,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,26,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,27,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,28,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,29,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
3,5138->10752,firing_employee,ett,3,residual,30,5138,10752,yes,no,11.5,9.375,11.5,2.125,-9.375,-11.5,-2.125,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
