eval_set,split,model,model_display_name,prompt_mode,prompt_condition,n,accuracy,symbolic_selection_rate
control_cv,35,qwen3_4b,Qwen3-4B,always_nl,Always NL,1010,0.595049504950495,0.0
control_cv,35,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1010,0.5772277227722772,1.0
control_cv,35,qwen3_4b,Qwen3-4B,query_router,Query Router,1010,0.5910891089108911,0.7297029702970297
control_cv,35,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1010,0.595049504950495,0.5277227722772277
control_cv,36,qwen3_4b,Qwen3-4B,always_nl,Always NL,1165,0.6008583690987125,0.0
control_cv,36,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1165,0.6206008583690987,1.0
control_cv,36,qwen3_4b,Qwen3-4B,query_router,Query Router,1165,0.6163090128755365,0.5201716738197425
control_cv,36,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1165,0.6180257510729614,0.41630901287553645
control_cv,37,qwen3_4b,Qwen3-4B,always_nl,Always NL,1068,0.5814606741573034,0.0
control_cv,37,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1068,0.5917602996254682,1.0
control_cv,37,qwen3_4b,Qwen3-4B,query_router,Query Router,1068,0.5833333333333334,0.4897003745318352
control_cv,37,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1068,0.5908239700374532,0.46722846441947563
control_cv,38,qwen3_4b,Qwen3-4B,always_nl,Always NL,916,0.5720524017467249,0.0
control_cv,38,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,916,0.5829694323144105,1.0
control_cv,38,qwen3_4b,Qwen3-4B,query_router,Query Router,916,0.5807860262008734,0.49672489082969434
control_cv,38,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,916,0.5884279475982532,0.47925764192139736
control_cv,39,qwen3_4b,Qwen3-4B,always_nl,Always NL,1001,0.5754245754245755,0.0
control_cv,39,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1001,0.5764235764235764,1.0
control_cv,39,qwen3_4b,Qwen3-4B,query_router,Query Router,1001,0.5844155844155844,0.7662337662337663
control_cv,39,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1001,0.5874125874125874,0.6103896103896104
control_cv,40,qwen3_4b,Qwen3-4B,always_nl,Always NL,1033,0.5788964181994192,0.0
control_cv,40,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1033,0.5943852855759922,1.0
control_cv,40,qwen3_4b,Qwen3-4B,query_router,Query Router,1033,0.5818005808325266,0.4937076476282672
control_cv,40,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1033,0.5924491771539206,0.5285575992255567
control_cv,41,qwen3_4b,Qwen3-4B,always_nl,Always NL,1034,0.5696324951644101,0.0
control_cv,41,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1034,0.5541586073500967,1.0
control_cv,41,qwen3_4b,Qwen3-4B,query_router,Query Router,1034,0.5589941972920697,0.6295938104448743
control_cv,41,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1034,0.5618955512572534,0.562862669245648
control_cv,42,qwen3_4b,Qwen3-4B,always_nl,Always NL,996,0.5983935742971888,0.0
control_cv,42,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,996,0.5943775100401606,1.0
control_cv,42,qwen3_4b,Qwen3-4B,query_router,Query Router,996,0.5883534136546185,0.5552208835341366
control_cv,42,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,996,0.6054216867469879,0.5060240963855421
control_cv,43,qwen3_4b,Qwen3-4B,always_nl,Always NL,1047,0.5807067812798472,0.0
control_cv,43,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1047,0.5950334288443171,1.0
control_cv,43,qwen3_4b,Qwen3-4B,query_router,Query Router,1047,0.5902578796561605,0.5119388729703916
control_cv,43,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1047,0.5988538681948424,0.5434574976122254
control_cv,44,qwen3_4b,Qwen3-4B,always_nl,Always NL,1034,0.5773694390715667,0.0
control_cv,44,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1034,0.5880077369439072,1.0
control_cv,44,qwen3_4b,Qwen3-4B,query_router,Query Router,1034,0.5754352030947776,0.379110251450677
control_cv,44,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1034,0.5947775628626693,0.5783365570599613
control_cv,45,qwen3_4b,Qwen3-4B,always_nl,Always NL,872,0.5986238532110092,0.0
