eval_set,model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate,split
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1632,1632,0.43933823529411764,0.26409313725490197,0.17524509803921567,0.18321078431372548,0.37745098039215685,0.26409313725490197,0.08884803921568629,0.0,10
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1632,1632,0.4117647058823529,0.2622549019607843,0.14950980392156862,0.22977941176470587,0.3584558823529412,0.2622549019607843,0.1127450980392157,0.0,10
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1583,1583,0.37523689197725835,0.28932406822488943,0.08591282375236892,0.22615287428932407,0.3986102337334176,0.28932406822488943,0.2034112444725205,0.0,11
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1583,1583,0.5129500947567909,0.3720783322804801,0.1408717624763108,0.131396083385976,0.3556538218572331,0.3720783322804801,0.2312065698041693,0.0,11
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1583,1583,0.41819330385344283,0.3145925457991156,0.10360075805432722,0.17435249526216046,0.4074542008843967,0.3145925457991156,0.21099178774478838,0.0,11
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1583,1583,0.39608338597599496,0.29248262792166774,0.10360075805432722,0.20277953253316489,0.40113708149084015,0.29248262792166774,0.1888818698673405,0.0,11
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1973,1973,0.40293968575772937,0.26355803345159656,0.13938165230613278,0.18955904713634059,0.40750126710593004,0.26355803345159656,0.12417638114546378,0.0,12
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1973,1973,0.496705524581855,0.3289406994424734,0.16776482513938165,0.10897110998479473,0.3943233654333502,0.3289406994424734,0.16117587430309174,0.0,12
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1973,1973,0.44348707551951344,0.2995438418651799,0.1439432336543335,0.146477445514445,0.41003547896604153,0.2995438418651799,0.1556006082108464,0.0,12
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1973,1973,0.4581855043081602,0.30562595032944756,0.15255955397871263,0.1434363912823112,0.39837810440952864,0.30562595032944756,0.15306639635073493,0.0,12
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1667,1667,0.3713257348530294,0.2519496100779844,0.11937612477504499,0.1739652069586083,0.4547090581883623,0.2519496100779844,0.1325734853029394,0.0,13
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1667,1667,0.47330533893221355,0.3041391721655669,0.16916616676664667,0.10797840431913618,0.41871625674865026,0.3041391721655669,0.13497300539892024,0.0,13
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1667,1667,0.41511697660467906,0.27474505098980206,0.14037192561487702,0.11697660467906419,0.46790641871625677,0.27474505098980206,0.13437312537492505,0.0,13
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1667,1667,0.4133173365326935,0.28254349130173967,0.1307738452309538,0.10317936412717456,0.483503299340132,0.28254349130173967,0.15176964607078586,0.0,13
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1594,1594,0.37578419071518193,0.2973651191969887,0.07841907151819323,0.2164366373902133,0.4077791718946048,0.2973651191969887,0.2189460476787955,0.0,14
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1594,1594,0.4981179422835634,0.3877038895859473,0.11041405269761606,0.11543287327478043,0.3864491844416562,0.3877038895859473,0.27728983688833125,0.0,14
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1594,1594,0.4222082810539523,0.33751568381430364,0.08469259723964868,0.15432873274780426,0.4234629861982434,0.33751568381430364,0.25282308657465496,0.0,14
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1594,1594,0.4071518193224592,0.32496863237139273,0.0821831869510665,0.1863237139272271,0.4065244667503137,0.32496863237139273,0.24278544542032623,0.0,14
